,RSS,_k_Dd,_k_Dp,_k_Gd,_k_Gp,_k_Kd,_k_KpG,_k_KpN,_k_Nd,_k_Np
51,3.10155e-06,2.17524,24.8711,0.015061,0.477949,7.003889999999998,400528.0,657270.0,631108.0,1.89917e-05
52,3.10155e-06,1.18751,0.00389042,0.000275727,0.00471357,0.0353199,1.57163e-05,55690.8,0.00101294,527.886
53,3.10155e-06,0.00118221,0.00789003,172.09599999999998,1.26637e-05,8.70126e-05,3415.36,0.0064208,110123.0,0.0479892
54,3.10155e-06,325.177,457125.0,107543.0,2.4526e-06,5.38332e-06,4.21905e-06,145.439,31.1861,224.187
55,3.10155e-06,0.0234861,0.0007715039999999999,0.659862,1.2458,3.09258e-06,3.54673e-06,0.000353159,1.33909e-05,38.7106
56,3.10155e-06,10.8584,0.000190588,668.7760000000002,3.40362,0.00257364,162.839,21071.7,0.166297,22.1606
57,3.10155e-06,3.84533,0.000925176,0.00261872,4.17909e-06,5176.46,747.928,0.0168806,47815.5,6277.74
58,3.10155e-06,1.1109e-06,0.112817,301.829,4.5923,2.86326e-05,0.8683049999999999,9.60044,33629.2,1.35523e-05
59,3.10155e-06,5.33857e-05,0.000133702,193601.0,0.00162388,0.0919867,4.2986e-06,0.0031009,5.14096e-06,1.7485
60,3.10155e-06,347714.0,0.0469818,0.00204498,3.098450000000001e-06,2657.89,121.438,226.479,0.000150829,1.78482e-05
61,3.10155e-06,0.00245072,1085.17,7.25442e-05,4.0140699999999985,194788.0,1.00653e-06,15001.6,28.78,0.75958
62,3.10155e-06,12333.6,0.00235588,196374.0,24762.6,0.00125682,2.21498,0.0147021,0.00526096,0.0254017
63,3.10155e-06,96.7303,0.017666099999999997,4.37202,1.18552e-05,4042.62,26.0323,61.7656,1425.21,61.1832
64,3.10155e-06,0.000176149,0.000321552,681528.0,14.1645,64461.0,4.9372300000000005,0.0325046,0.000239269,2.29409
65,3.10155e-06,11288.4,4576.48,30229.6,0.000978844,3.11787,923235.0,161.297,0.000151838,0.189137
66,3.10155e-06,0.00726557,5.95941e-06,0.001228,0.0101279,127990.0,1.93556e-06,0.000459844,9081.27,9.611e-06
67,3.10155e-06,6.0018600000000015e-06,88.2659,12.0516,215.105,1564.4,0.00383254,1.36658e-05,219.835,0.00022955
