Time	S	E	I	P	ES	EI	k_es	k_ei	k_res	k_rei	k_cat	k_Igen	k_Pinh	k_Ideg	k_Pdeg	k_Sdeg	k_Sinp	ProS
70	0.09911060000000001	0.23824499999999998	3.15386	0.197697	0.0225343	0.73922	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
71	0.0989818	0.227593	3.34954	0.180974	0.021428700000000002	0.7509779999999999	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
72	0.0989315	0.217619	3.5499400000000003	0.165742	0.0204345	0.761946	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
73	0.09891989999999999	0.20830300000000002	3.75432	0.15187	0.0195252	0.772171	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
74	0.0989266	0.19962	3.96191	0.139234	0.0186862	0.781694	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
75	0.0989411	0.19154100000000002	4.171869999999999	0.127724	0.017908900000000002	0.79055	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
76	0.09895830000000001	0.18403699999999998	4.38336	0.11723800000000001	0.0171877	0.798776	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
77	0.0989755	0.177076	4.59549	0.10768399999999999	0.016518599999999998	0.8064060000000001	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
78	0.0989918	0.170628	4.80739	0.0989784	0.0158981	0.813474	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
79	0.0990066	0.164662	5.01817	0.091044	0.0153233	0.8200149999999999	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
80	0.0990199	0.159149	5.22698	0.08381210000000001	0.014791299999999999	0.82606	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
81	0.0990316	0.154059	5.433	0.0772197	0.0142994	0.831642	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
82	0.09904199999999999	0.149364	5.63544	0.0712098	0.013845099999999999	0.836791	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
83	0.09905119999999999	0.145038	5.83358	0.0657302	0.013425999999999999	0.8415360000000001	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
84	0.0990593	0.14105399999999998	6.02677	0.060733800000000004	0.013039600000000002	0.845907	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
85	0.0990664	0.137388	6.21441	0.056177599999999994	0.0126836	0.849929	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
86	0.0990727	0.134017	6.3960099999999995	0.0520225	0.012356	0.853627	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
87	0.09907819999999999	0.130919	6.57112	0.0482329	0.0120546	0.8570270000000001	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
88	0.09908310000000001	0.128073	6.73942	0.0447765	0.011777600000000001	0.8601489999999999	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
89	0.09908739999999999	0.125461	6.9006300000000005	0.0416237	0.011523100000000001	0.863016	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
90	0.09909119999999999	0.123064	7.05456	0.0387478	0.0112895	0.8656459999999999	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
91	0.0990946	0.12086600000000002	7.2011	0.036124199999999995	0.011075	0.868059	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
92	0.09909760000000001	0.118851	7.3402	0.033730800000000005	0.010878299999999999	0.8702709999999999	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
93	0.0991003	0.117004	7.471889999999999	0.0315472	0.0106979	0.8722979999999999	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
94	0.09910269999999999	0.115311	7.596239999999999	0.029555	0.010532600000000001	0.8741559999999999	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
95	0.0991048	0.11376199999999999	7.713369999999999	0.027737400000000002	0.0103811	0.875857	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
96	0.0991067	0.11234300000000001	7.82344	0.0260789	0.010242399999999999	0.877415	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
97	0.0991084	0.111044	7.926660000000001	0.024565599999999996	0.010115299999999999	0.878841	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
98	0.09910989999999999	0.109855	8.02327	0.023184700000000003	0.00999903	0.8801459999999999	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
99	0.0991113	0.108767	8.1135	0.021924700000000002	0.00989258	0.88134	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
100	0.0991125	0.107772	8.19764	0.020775	0.00979518	0.882433	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
