TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Parameters	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
(	0.675872	0.313344	1.24739	1e-06	1.24739	0.189799	1.24739	0.105248	0.827399	1.13616	1.13322	0.110848	0.415872	0.843392	0.425568	0.49552	)	1.02769
(	0.67744	0.312192	1.24896	1e-06	1.24896	0.189991	1.24896	0.10528	0.828967	1.136	1.13302	0.110816	0.416	0.84496	0.425536	0.49616	)	1.02604
(	0.67904	0.311008	1.25056	1e-06	1.25056	0.190215	1.25056	0.105312	0.830567	1.13581	1.13286	0.110784	0.416096	0.84656	0.425472	0.496832	)	1.02436
(	0.680672	0.309792	1.25219	1e-06	1.25219	0.190407	1.25219	0.105312	0.832199	1.13565	1.13274	0.110752	0.41616	0.848192	0.425376	0.497536	)	1.02265
(	0.682336	0.308544	1.25386	1e-06	1.25386	0.190599	1.25386	0.105312	0.833863	1.13552	1.13264	0.11072	0.416192	0.849856	0.425248	0.498272	)	1.0209
(	0.684032	0.307264	1.25555	1e-06	1.25555	0.190823	1.25555	0.105344	0.835559	1.13542	1.13258	0.110688	0.416192	0.851552	0.425088	0.49904	)	1.01913
(	0.68576	0.305952	1.25728	1e-06	1.25728	0.191047	1.25728	0.105344	0.837287	1.13536	1.13254	0.110656	0.41616	0.85328	0.424896	0.49984	)	1.01733
(	0.68752	0.304608	1.25904	1e-06	1.25904	0.191271	1.25904	0.105344	0.839047	1.13533	1.13254	0.110624	0.416096	0.85504	0.424672	0.500672	)	1.01551
(	0.689312	0.303232	1.26083	1e-06	1.26083	0.191463	1.26083	0.105312	0.840839	1.13533	1.13254	0.11056	0.416	0.856832	0.424416	0.501536	)	1.01365
(	0.691136	0.301824	1.26266	1e-06	1.26266	0.191687	1.26266	0.10528	0.842663	1.13536	1.13258	0.110528	0.415872	0.858656	0.424128	0.502432	)	1.01176
(	0.692992	0.300384	1.26451	1e-06	1.26451	0.191911	1.26451	0.10528	0.844519	1.13542	1.13261	0.110496	0.415712	0.860512	0.423808	0.50336	)	1.00985
(	0.69488	0.298912	1.2664	1e-06	1.2664	0.192167	1.2664	0.10528	0.846407	1.13552	1.13261	0.110464	0.41552	0.8624	0.423456	0.50432	)	1.0079
(	0.6968	0.297408	1.26832	1e-06	1.26832	0.192455	1.26832	0.10528	0.848327	1.13565	1.13258	0.110432	0.415296	0.86432	0.423072	0.505312	)	1.00593
(	0.698752	0.295872	1.27027	1e-06	1.27027	0.192711	1.27027	0.105248	0.850279	1.13581	1.13254	0.1104	0.41504	0.866272	0.422656	0.506336	)	1.00394
(	0.700736	0.294304	1.27226	1e-06	1.27226	0.192967	1.27226	0.105248	0.852263	1.136	1.13254	0.110368	0.414752	0.868256	0.422208	0.507392	)	1.00191
(	0.702752	0.292704	1.27427	1e-06	1.27427	0.193255	1.27427	0.105216	0.854279	1.13622	1.13254	0.110336	0.414432	0.870272	0.421728	0.50848	)	0.999859
(	0.7048	0.291072	1.27632	1e-06	1.27632	0.193511	1.27632	0.105216	0.856327	1.13645	1.13258	0.110336	0.41408	0.87232	0.421216	0.5096	)	0.997781
(	0.70688	0.289408	1.2784	1e-06	1.2784	0.193767	1.2784	0.105216	0.858407	1.1367	1.13264	0.110336	0.413696	0.8744	0.420672	0.510752	)	0.995677
(	0.708992	0.287712	1.28051	1e-06	1.28051	0.194055	1.28051	0.105216	0.860519	1.13699	1.13274	0.110304	0.41328	0.876512	0.420096	0.511936	)	0.993547
(	0.711136	0.285984	1.28266	1e-06	1.28266	0.194375	1.28266	0.105184	0.862663	1.13725	1.13283	0.110272	0.412832	0.878656	0.419552	0.513152	)	0.991391
(	0.713312	0.284224	1.28483	1e-06	1.28483	0.194663	1.28483	0.105152	0.864839	1.1375	1.13296	0.11024	0.412352	0.880832	0.418976	0.5144	)	0.989211
(	0.71552	0.282432	1.28704	1e-06	1.28704	0.194919	1.28704	0.10512	0.867047	1.13779	1.13309	0.110208	0.41184	0.88304	0.4184	0.51568	)	0.987005
(	0.71776	0.280608	1.28928	1e-06	1.28928	0.195143	1.28928	0.105088	0.869287	1.13805	1.13325	0.110176	0.411296	0.88528	0.417792	0.516992	)	0.984775
(	0.720032	0.278752	1.29155	1e-06	1.29155	0.195399	1.29155	0.105056	0.871559	1.13827	1.13344	0.110144	0.41072	0.887552	0.417216	0.518336	)	0.982521
(	0.722336	0.276864	1.29386	1e-06	1.29386	0.195655	1.29386	0.105056	0.873863	1.13846	1.13363	0.110112	0.410112	0.889856	0.41664	0.519712	)	0.980242
(	0.724672	0.274944	1.29619	1e-06	1.29619	0.195911	1.29619	0.105024	0.876199	1.13862	1.13386	0.11008	0.409472	0.892192	0.416064	0.52112	)	0.97794
(	0.72704	0.272992	1.29856	1e-06	1.29856	0.196167	1.29856	0.105024	0.878567	1.13878	1.13411	0.110048	0.4088	0.89456	0.415456	0.52256	)	0.975615
(	0.72944	0.271008	1.30096	1e-06	1.30096	0.196455	1.30096	0.104992	0.880967	1.13891	1.1344	0.110016	0.408096	0.89696	0.414816	0.524032	)	0.973268
(	0.731872	0.268992	1.30339	1e-06	1.30339	0.196711	1.30339	0.104992	0.883399	1.13907	1.13472	0.110016	0.40736	0.899392	0.414144	0.525536	)	0.970897
(	0.734336	0.266944	1.30586	1e-06	1.30586	0.196967	1.30586	0.105024	0.885863	1.13923	1.13507	0.110016	0.406592	0.901856	0.41344	0.527072	)	0.968505
(	0.736832	0.264864	1.30835	1e-06	1.30835	0.197255	1.30835	0.105024	0.888359	1.13942	1.13546	0.110016	0.405792	0.904352	0.412704	0.52864	)	0.966092
(	0.73936	0.262752	1.31088	1e-06	1.31088	0.197511	1.31088	0.105024	0.890887	1.13965	1.13581	0.110016	0.40496	0.90688	0.411936	0.53024	)	0.963657
